locode,country,location,port_name,subdivision,status,function,coordinates
NOSLD,NO,SLD,Solund,14,AA,1-------,6104N 00450E
NOSLG,NO,SLG,Slagentangen,07,AA,1-3-----,5919N 01030E
NOSLH,NO,SLH,Salthella,12,RL,1-------,6000N 00507E
NOSLM,NO,SLM,Slemmestad,06,AA,1-3-----,5946N 01029E
NOSLN,NO,SLN,Skjolden,14,RL,1-3-----,6129N 00735E
NOSLV,NO,SLV,Slovag,14,AA,1----6--,6051N 00504E
NOSLX,NO,SLX,Sortland,18,AA,1-3-----,6842N 01525E
NOSMO,NO,SMO,Smola,15,AA,1-------,6327N 00800E
NOSNE,NO,SNE,Sogne,10,AI,1-------,5805N 00749E
NOSNF,NO,SNF,Snefjord,20,AA,1-------,7048N 02434E
NOSNL,NO,SNL,Standal,15,AA,1-------,6216N 00626E
NOSNS,NO,SNS,Steinesjoen,18,RL,1-------,6836N 01427E
NOSNV,NO,SNV,Snekkevik,08,AA,1-------,5852N 00918E
NOSOG,NO,SOG,Sogndal,14,AA,1--4----,6113N 00706E
NOSOJ,NO,SOJ,Sorkjosen,19,RL,1-34----,6948N 02056E
NOSOR,NO,SOR,Sorarnoy,18,AA,1-------,6708N 01359E
NOSOS,NO,SOS,Svolvar Osan,18,AA,1-------,6814N 01432E
NOSOV,NO,SOV,Sovik,15,RL,1-3-----,6226N 00645E
NOSOY,NO,SOY,Storoya,11,RL,1-------,5925N 00514E
NOSPG,NO,SPG,Sarpsborg,01,AA,123-----,5916N 01106E
NOSPK,NO,SPK,Skipavik,12,AA,1-------,6004N 00536E
NOSPV,NO,SPV,Spjelkavik,15,AA,1-3-----,6227N 00620E
NOSRA,NO,SRA,Sorreisa,19,AA,1-------,6908N 01807E
NOSRD,NO,SRD,Sigerfjord,18,RL,1-3-----,6838N 01532E
NOSRH,NO,SRH,Skarholmen,12,AA,1-------,6024N 00512E
NOSRK,NO,SRK,Skrolsvik,19,AA,1-------,6904N 01649E
NOSRM,NO,SRM,Straumsnes,18,RL,1-3-----,6839N 01438E
NOSRN,NO,SRN,Stranda,15,AA,1-3-----,6218N 00656E
NOSRO,NO,SRO,Skrova,18,RL,1-3-----,6810N 01440E
NOSRP,NO,SRP,Stord,12,AA,1--4----,5945N 00529E
NOSRS,NO,SRS,Storesund,11,AA,1-------,5925N 00516E
NOSRV,NO,SRV,Sirevag,11,AA,123-----,5830N 00547E
NOSSJ,NO,SSJ,Sandnessjoen,18,AA,1-34----,6601N 01238E
NOSSO,NO,SSO,Straumsjoen,18,AA,1-------,6842N 01428E
NOSSS,NO,SSS,Sistranda,16,AA,1-------,6343N 00850E
NOSTA,NO,STA,Stathelle,08,AA,1-3-----,5902N 00942E
NOSTB,NO,STB,Storebo,12,AA,1-------,6006N 00513E
NOSTE,NO,STE,Steinkjer,17,AF,123-----,6401N 01129E
NOSTH,NO,STH,Steinshamn,15,RL,1-3-----,6247N 00629E
NOSTI,NO,STI,Steinvig,11,AA,1-------,5858N 00600E
NOSTJ,NO,STJ,Stjordal,17,AA,1234----,6328N 01053E
NOSTO,NO,STO,Stokkvagen,18,AA,1-------,6620N 01300E
NOSTR,NO,STR,Stryn,14,AA,1-3-----,6153N 00642E
NOSTU,NO,STU,Stura,12,AA,1-------,6037N 00452E
NOSTV,NO,STV,Stavern,07,AA,1-3-----,5859N 01002E
NOSTX,NO,STX,Sto,18,AA,1-------,6901N 01508E
NOSTY,NO,STY,Stjernoya,20,RL,1-------,7018N 02243E
NOSTZ,NO,STZ,Stranda - Froya,16,AA,1-------,6348N 00841E
NOSUN,NO,SUN,Sunndalsora,15,AF,1-3-----,6240N 00833E
NOSUR,NO,SUR,Surnadal,15,AA,1-3-----,6259N 00838E
NOSUS,NO,SUS,Susort,11,RL,1-------,5917N 00528E
NOSUZ,NO,SUZ,Stamsund,18,AA,1-3-----,6807N 01350E
NOSVB,NO,SVB,Svartebukt,07,AA,1-------,5901N 00950E
NOSVE,NO,SVE,Svelgen,14,AA,1-3-----,6146N 00517E
NOSVG,NO,SVG,Stavanger,11,AI,1234----,5858N 00545E
NOSVI,NO,SVI,Ornes,18,RL,1-3--6--,6652N 01342E
NOSVJ,NO,SVJ,Svolvar,18,AA,1-34----,6813N 01433E
NOSVL,NO,SVL,Savlandsvik,11,AA,1-------,5916N 00511E
NOSVO,NO,SVO,Sveio,12,AI,1-------,5933N 00521E
NOSVR,NO,SVR,Sorvar,20,RL,1-3-----,7038N 02159E
NOSVT,NO,SVT,Stavneset - Rissa,16,AA,1-------,6342N 00957E
NOSVV,NO,SVV,Svelvik,07,AA,1-3-----,5936N 01024E
NOSYK,NO,SYK,Sykkylven,15,AA,1-3-----,6224N 00634E
NOT8N,NO,T8N,Oteren,19,RL,1----6--,6916N 01954E
NOTAE,NO,TAE,Tananger,11,AA,1-3-----,5855N 00535E
NOTAL,NO,TAL,Talavag,12,AA,1-------,6015N 00459E
NOTAU,NO,TAU,Tau,11,AA,1-3-----,5903N 00554E
NOTAV,NO,TAV,Torangsvag,12,RL,1-------,6007N 00510E
NOTBO,NO,TBO,Tjeldbergodden,15,AA,1-------,6328N 00900E
NOTJL,NO,TJL,Tjotta,18,AA,1-------,6549N 01226E
NOTJR,NO,TJR,Tjorvag,15,AA,1-3-----,6217N 00544E
NOTJU,NO,TJU,Torjulvagen,15,AA,1-------,6259N 00815E
NOTMV,NO,TMV,Tromvik,19,RL,1-3-----,6947N 01824E
NOTNN,NO,TNN,Tonnes,18,AA,1-------,6631N 01300E
NOTOF,NO,TOF,Tofte - Hurum,06,AA,1-3-----,5932N 01034E
NOTOM,NO,TOM,Tomrefjord,15,AA,1-3-----,6235N 00655E
NOTON,NO,TON,Tonsberg,07,AA,123-----,5915N 01025E
NOTOR,NO,TOR,Torsken,19,AA,1-------,6920N 01706E
NOTOS,NO,TOS,Tromso,19,AI,1-34----,6940N 01858E
NOTOV,NO,TOV,Tovik,19,RL,1-3-----,6841N 01654E
NOTOY,NO,TOY,Thoroya,07,RL,1-3-----,5906N 01014E
NOTRD,NO,TRD,Trondheim,16,AA,1234----,6326N 01024E
NOTRF,NO,TRF,Sandefjord,07,AA,1234----,5907N 01013E
NOTRN,NO,TRN,Trana,18,RL,1-------,6630N 01206E
NOTRO,NO,TRO,Trollasen,02,RL,123-----,6002N 01002E
NOTSB,NO,TSB,Tyssebotn,12,AA,1-------,6037N 00535E
NOTSX,NO,TSX,Tyssedal,12,AA,1-3-----,6007N 00633E
NOTUF,NO,TUF,Tufjorden,20,AA,1-------,7100N 02354E
NOTVA,NO,TVA,Torsvag,19,AA,1-------,7015N 01930E
NOTVE,NO,TVE,Tvedestrand,09,AA,1-3-----,5837N 00855E
NOTVI,NO,TVI,Torvika,15,AA,1-------,6220N 00544E
NOTYT,NO,TYT,Tytebarvika,19,AA,1-------,6936N 01958E
NOUBO,NO,UBO,Uloybukt,19,AA,1-------,6951N 02042E
NOULE,NO,ULE,Ulstein,15,RL,1-------,6222N 00549E
NOULL,NO,ULL,Ullensvang,12,AA,1-------,6019N 00639E
NOULS,NO,ULS,Ulsteinvik,15,AA,1-3-----,6220N 00550E
NOUME,NO,UME,Straume,12,AA,1-------,6019N 00517E
NOUND,NO,UND,Sund - Karmoy,11,AA,1-------,5918N 00514E
NOUSD,NO,USD,Uskedalen,12,AA,1-3-----,5956N 00551E
NOUTG,NO,UTG,Utgardskilen,01,AA,1-------,5905N 01052E
NOUTH,NO,UTH,Uthaug,16,RL,1-3-----,6343N 00936E
NOUTN,NO,UTN,Utne,12,RL,1-3-----,6025N 00636E
NOUTS,NO,UTS,Utsira,11,AA,1-------,5918N 00453E
NOUTV,NO,UTV,Utvorda,17,AA,1-------,6436N 01057E
NOUVK,NO,UVK,Ulvik,12,AA,1-------,6034N 00655E
NOVAD,NO,VAD,Valldal,15,AA,1-------,6218N 00716E
NOVAE,NO,VAE,Valsneset,16,AA,1-------,6349N 00938E
NOVAG,NO,VAG,Valevag,12,RL,1-3-----,5942N 00528E
NOVAK,NO,VAK,Vaksdal,12,AA,123-----,6028N 00544E
NOVAL,NO,VAL,Valloy,07,AF,1-------,5916N 01030E
NOVAN,NO,VAN,Vanvikan-Leksvik,17,AA,1-3-----,6333N 01014E
NOVAO,NO,VAO,Vardo,20,AA,1-34----,7022N 03106E
NOVBE,NO,VBE,Valberg,08,AA,1-------,5853N 00925E
NOVDA,NO,VDA,Volda,15,AA,1-3-----,6208N 00603E
NOVDL,NO,VDL,Vistdal,15,RL,1-------,6243N 00756E
NOVDS,NO,VDS,Vadso,20,AF,1-34----,7004N 02946E
NOVEG,NO,VEG,Vega,18,AA,1-------,6539N 01200E
NOVEO,NO,VEO,Vengsoy,19,AA,1-------,6950N 01835E
NOVER,NO,VER,Verdal,17,AA,123-----,6347N 01126E
NOVEY,NO,VEY,Varoy,18,AA,1-------,6739N 01242E
NOVHM,NO,VHM,Vadheim,14,RL,1-------,6112N 00549E
NOVHN,NO,VHN,Vikholmen,18,AA,1-------,6612N 01258E
NOVIL,NO,VIL,Vikedal,11,AA,1-------,5930N 00555E
NOVIS,NO,VIS,Vik - Sogn,14,AA,1-3-----,6105N 00635E
NOVKK,NO,VKK,Vikkilen,09,AA,1-------,5822N 00837E
NOVLL,NO,VLL,Voll,11,RL,1-3-----,6812N 01341E
NOVLS,NO,VLS,Vallersund,16,AA,1-------,6351N 00945E
NOVMD,NO,VMD,Vedavagen,11,RL,1-3-----,5917N 00514E
NOVNJ,NO,VNJ,Vinjeora,16,RL,1-------,6312N 00859E
NOVNN,NO,VNN,Vannavalen,19,RL,1-------,7007N 01958E
NOVNS,NO,VNS,Vingsand,16,AA,1-------,6421N 01028E
NOVOH,NO,VOH,Vagaholmen,18,AA,1-------,6643N 01317E
NOVSM,NO,VSM,Vikan - Smola,15,AA,1-3-----,6323N 00812E
NOVSN,NO,VSN,Visnes - Eide,15,AA,1-------,6257N 00724E
NOVST,NO,VST,Vestnes,15,AA,1-3-----,6238N 00704E
NOVTL,NO,VTL,Vartdal,15,AA,1-3-----,6218N 00604E
NOVTS,NO,VTS,Vats,11,AA,1-------,5929N 00544E
NOVVG,NO,VVG,Vagsvag,14,RL,1-3-----,6156N 00503E
NOYTO,NO,YTO,Ytroy,14,AA,1-------,6105N 00441E
NOZNJ,NO,ZNJ,Nusfjord,18,AA,1-------,6802N 01321E
